algorithm,date,day,exam,overflow_students,priority,room,room capacity,room_id,slot_id,status,student ids,students in room,time,total students
greedy,2025-05-31,Saturday,HUMA001/101 (Room),201,high,1,33,1,0,scheduled,18100594+19100645+202002095+221000268+231000057+231001282+231001424+231001880+231002054+231002055+241001077+241001097+241001335+241001631+241001777+241001788+241001800+241001978+241002043+241002044+241002051+241002073+241002092+241002526+1610630+221001801+221001932+221002201+231000568+231000613+231001484+231001653+241000025,33,08:00-10:00,234
greedy,2025-05-31,Saturday,MATH102,0,normal,104,65,104,0,scheduled,202000579+202001715+221001724+221001892+221001944+221002059+221002131+231000384+231000843+231001211+231001347+231001670+231001678+231001748+231001758+231002006+231002040+231002094+231002342+231002599+231002657+231002744+241000425+241002017+241002087+242000011+251000053+251000109+251000188+251000247+251000293+251000297+251000309+251000310+251000464+251000539+251000586+251000817+251000918+251000939+251000970+251001009+251001264+251001268+251001280+251001322+251001404+251001553+251001608+251001872+251002053+251002146+251002173+251002244+251002287+251002425+251002599+251002626+251002644+251002680+251002765+251002783+251002865+251002973,64,08:00-10:00,64
greedy,2025-05-31,Saturday,MNG223,30,normal,106,64,106,0,scheduled,241000469+241000593+241000615+241000657+241000793+241000887+241000990+241001046+241001135+241001171+241001172+241001174+241001300+241001430+241001461+241001509+241001519+241001702+241001838+241001934+241001991+241002039+241002084+241001059+241001098+241001103+241001125+241001187+241001212+241001246+241001263+241001265+241001286+241001288+241001324+241001381+241001452+241001502+241001575+241001576+241001635+241001644+241001687+241001757+241001760+241001773+241001833+241001884+241001933+241001949+241001950+241001973+241001985+241001990+241001997+241002016+241002356+241002370+241002397+241002627+231000052+231002106+241000157+241000206,64,08:00-10:00,94
greedy,2025-05-31,Saturday,MATH204,42,normal,110,62,110,0,scheduled,19100338+211001806+211002065+211002071+221000202+221000720+221001066+221001516+221001773+221001841+221001845+221001883+221001888+221001902+221001910+221001922+221001952+221001955+221002134+221002162+222000072+231000201+231000779+231001220+231001684+231002015+231002049+231002258+241000075+241000377+241001061+241001189+241001308+241001456+241001469+241001506+241001648+241001653+241001660+241001799+241001920+241001929+241002353+241002412+241002470+241002498+241002507+241002516+241002565+221000583+221001273+221001282+221001597+221001655+221001734+221001749+221001760+221001874+221001880+221001966+221001990+222000159,62,08:00-10:00,104
greedy,2025-05-31,Saturday,OPMG405,0,normal,111,66,111,0,scheduled,19105734+202002391+202002644+202002992+211001502+221000122+221000422+221000748+221000762+221002020+231000913+231001177+231001716+231001938+231002337+231002439+231002473+241001744,18,08:00-10:00,18
greedy,2025-05-31,Saturday,AIS421,0,normal,114,63,114,0,scheduled,221000424+221000432+221000570+221000645+221000681+221000728+221000744+221000759+221000770+221000828+221000832+221000927+221001050+221001055+221001099+221001133+221001237+211000093+211000633+211001524+211001783+211001892+221000002+221000024+221000062+221000072+221000086+221000117+221000123+221000142+221000147+221000166+221000318+221000347+221000410+221001421+221001470+221001493+221001520+221001524+221001554+221001565+221001592+221001646+221001647+221001701+221001704+221001792+221001815+221001882+221002051+231001426,52,08:00-10:00,52
greedy,2025-05-31,Saturday,CVL451,0,normal,116,66,116,0,scheduled,211001942+212002435+221000377+231000002+231000355+231000476+231000667+231000796+231001062+231002091+231002721+241000176+241000397+241000649+241001591+251001999,16,08:00-10:00,16
greedy,2025-05-31,Saturday,ECEN465,0,normal,129,68,129,0,scheduled,19105801+202000072+202001153+211000194+211000312+211000437+211000706+211000964+211001192+211001743+221000275+221000379+221000533+221000656+221000685+221000850+221000856+221001579+221001740+221001795+221002221,21,08:00-10:00,21
greedy,2025-05-31,Saturday,CSC103,223,high,132,65,132,0,scheduled,251000447+251000547+251000761+251000888+251000889+251000904+251000920+251001085+251001091+251001139+251001144+251001151+251001166+251001215+251001253+251001343+251001505+251001511+251001517+251001551+251001556+251001565+251001325+251001363+251001453+251001461+251001487+251001509+251001569+251001578+251001579+251001580+251001584+251001670+251001671+251001830+251001833+251001905+251001931+251001938+251001940+251001958+251001972+251001987+251001607+251001621+251001677+251001690+251001719+251001865+251001883+251001913+251001917+251001924+251001932+251001961+251002158+251002166+251002237+251002253+251002314+251002332+251002370+251002400+251002502,65,08:00-10:00,288
greedy,2025-05-31,Saturday,MNG386,0,normal,134,66,134,0,scheduled,211001830+221001686+221002233+231000269+231001632+231001847+231001910,7,08:00-10:00,7
greedy,2025-05-31,Saturday,ARC262,0,normal,138,64,138,0,scheduled,1710883+221000084+221002008+231000044+231000530+231000645+231001289+241000044+241000064+241000073+241000113+241000194+241000272+241000317+241000376+241000586+241000602+241000636+241000641+241000662+241000801+241000819+241000883+241001134+241001273+241001278+241001629+241001947+241002157+241002175+241002210+241002281+241002327+241002528+241002593+241002622,36,08:00-10:00,36
greedy,2025-05-31,Saturday,CVL313,0,normal,139,66,139,0,scheduled,1710909+18101487+202001155+202002167+221001750,5,08:00-10:00,5
greedy,2025-05-31,Saturday,ECEN449,0,normal,142,66,142,0,scheduled,1710382+211000699+212002283,3,08:00-10:00,3
greedy,2025-05-31,Saturday,MNG335,10,normal,264,35,264,0,scheduled,231001357+231001566+231001569+231001589+231001667+231001672+231001732+231001757+231001801+231001816+231001865+231001881+231001903+231001913+231001990+231001997+231002076+231002095+231002196+231002232+231002257+231002357+1720040+221001640+231000031+231000083+231000097+231000138+231000326+231000327+231000473+231000531+231000710+231000724+231000799,35,08:00-10:00,45
greedy,2025-05-31,Saturday,ARC363,0,normal,265,35,265,0,scheduled,221000240+231000011+231000030+231000110+231000139+231000223+231000312+231000337+231000340+231000365+231000516+231000883+231001576+231002016+231002328+231002370+231002387,17,08:00-10:00,17
greedy,2025-05-31,Saturday,MICR303,0,normal,306,68,306,0,scheduled,221000417+221000545+221000836+221000906+221001140+221001278+221001396+221001731+221001804+221001876+221001928,11,08:00-10:00,11
greedy,2025-05-31,Saturday,IENG421,0,normal,307,65,307,0,scheduled,221000209,1,08:00-10:00,1
greedy,2025-05-31,Saturday,ARUD478,0,normal,316,50,316,0,scheduled,1710696+202000142+202000390+202000709+211000033+211000065+211000070+211000124+211000144+211000184+211000364+211000374+211000403+211000643+211000646+211000778+211001755+211001871+211002128,19,08:00-10:00,19
