ID,Subject
1510203,MKTG302+MKTG303+MKTG405+MKTG417+MKTG470+SSCI102
1510300,ECE213+ECE233+ECE322+ECE346+MTH217
1610387,CHM111+CSCI217+CSCI417+ECE314+IND325
1610400,CSCI315+CSCI465+CSCI467
1610574,NSCI102+SSCI102
1610630,ECE232+ECE233+ECE314+HUMA001/101 (Room)+MTH216
1610751,MOIT301+NSCI102
1620015,MTH113
1710382,ECEN428+ECEN438+ECEN449
1710653,ECE233+ECE322+ECE346+ECEN428+ECEN438+MTH217
1710696,ARUD478
1710883,ARC262+ARC343+ARC353
1710909,CVL311+CVL313+CVL334
1711001,MNG223+MNG271
1711021,ECE151+MEC111+MTH112+MTH113
1720040,MNG335+MNG372
18100523,ECE213+ECE233+ECE314+ECE346+ECEN438
18100594,ACCT201+HUMA001/101 (Room)+HUMA102+MOIT301
18100648,ACCT301+FINC305+MKTG302
18100697,CSCI315+CSCI322+MATH301
18100713,MEC111+MTH111+PHY111
18100890,CSCI208+CSCI217+CSCI322
18100900,ACCT303+BSAD401+HUMA001/101 (Room)+HUMA102+MGMT402
18101248,MNG232+MNG321+MNG363+MNG372
18101410,CSCI417+CSCI419+CSCI451+ECE314+ECE346
18101487,CVL313+CVL411+CVL432+MTH112
18101510,ACCT301+FINC301+FINC305+MOIT301
18101558,CHM111+ECE151+ECEN101C
18101802,ECE121+ECE151+ECE213+ECE232+ECE241+MTH217
18101953,CHM111+CVL411+MEC111+MTH112
18101994,CVL315+CVL334+CVL411+HUMA102
18102051,MENG327+MNG223+MNG232+MNG241+MNG271+MNG321
18102135,CSCI415
18102402,ACCT202+MOIT301+OPMG302
18102520,ACCT202+SSCI102
18102587,HUMA001/101 (Room)+MKTG417+OPMG301
18102589,ACCT301+MOIT301+OPMG303
18200019,ECEN101C+MATH210+MATH301
18200099,ACCT202+OPMG302
1820029,IENG345+IND323+IND324+IND333
19100006,CSCI315+CSCI415+MATH203+MATH301
19100200,ACCT301+ACCT303+FINC305+MKTG307
19100320,IND252+IND325+MNG372
19100338,CBIO204+MATH204+PHY102
19100361,CSCI482+MATH301+SSCI102
19100394,MATH203
19100436,MEC112+MNG223+MNG271+MTH215
19100469,ACCT202+MKTG302+MKTG304+MKTG401+MKTG470
19100478,IND252+IND325+MNG372
19100540,CSCI305+CSCI313+CSCI315+CSCI417+CSCI419+MATH201
19100615,CVL441+MTH214
19100645,CSCI311+CSCI322+CSCI417+CSCI419+HUMA001/101 (Room)+NSCI102
19100706,NSCI103
19100948,CVL411+MTH216
19104283,ECE231+ECE315+MTH113+MTH215+MTH216
19104642,ACCT202+FINC301+MGMT303+MOIT301
19105040,BMD407+CSCI305+CSCI313+CSCI417+CSCI461
19105218,CSCI212/CSCI221+HUMA102+MATH201+MATH301
19105329,BMD407+CSCI217+CSCI419+MATH201
19105609,MATH210+MATH301
19105734,ACCT301+ACCT303+OPMG405
19105748,MENG327+MNG321+MNG363
19105751,MGMT303+MKTG302+MOIT301+OPMG301
19105801,CSCI322+ECE338+ECE346+ECE424+ECEN456+ECEN465
19105994,MGMT402+OPMG301+OPMG303
19106013,ECE213+ECE314+ECE322+MTH216+PHY111/PHYS001
19106025,CSCI315+CSCI417+CSCI461+CSCI465
19106040,BMD407+CSCI217+CSCI419
19106175,BMD303+BMD407+BMD409+CSCI419
19106181,MKTG302+OPMG304
19106361,BSAD420+FINC305+MKTG302+MOIT301
19200031,ECE233+ECE314+ECEN438+NSCI102+SSCI102
19200151,ACCT202+MGMT303+MOIT301
202000023,CSCI322+CSCI417+CSCI419+HUMA102
202000064,IENG345+IND252+MEC112+MTH214+MTH216
202000072,CSCI208+CSCI451+ECE338+ECEN465
202000080,IND212+IND242+IND333+MTH214
202000084,ECE322+ECE346+ECE471+IND325+MTH113
202000096,BMD303+BMD404+BMD407+BMD409
