room_id,building,capacity
1,Tarek Khalil,33
7,Tarek Khalil,33
8,Tarek Khalil,33
9,Tarek Khalil,33
52,Tarek Khalil,33
53,Tarek Khalil,33
104,Tarek Khalil,65
106,Tarek Khalil,64
110,Tarek Khalil,62
111,Tarek Khalil,66
114,Tarek Khalil,63
116,Tarek Khalil,66
129,Tarek Khalil,68
132,Tarek Khalil,65
134,Tarek Khalil,66
138,Tarek Khalil,64
139,Tarek Khalil,66
142,Tarek Khalil,66
264,Tarek Khalil,35
265,Tarek Khalil,35
306,Tarek Khalil,68
307,Tarek Khalil,65
316,Tarek Khalil,50
333,Tarek Khalil,66
347,Tarek Khalil,65
216A,Tarek Khalil,35
216B,Tarek Khalil,35
330A,Tarek Khalil,69
330B,Tarek Khalil,68
F9,Main Building,60
F38,Main Building,66
F42,Main Building,64
F45,Main Building,68
F46,Main Building,68
F47,Main Building,66
F48,Main Building,67
G17,Main Building,32
G18,Main Building,34
